,track_name,artists,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
606,Jhoome Jo Pathaan,Arijit Singh,6,2022,12,22,138,4,1365184,13,78,2,0,27,105,7,Major,82,62,74,10,0,33,7
607,Jhoome Jo Pathaan,Vishal Dadlani,6,2022,12,22,138,4,1365184,13,78,2,0,27,105,7,Major,82,62,74,10,0,33,7
608,Jhoome Jo Pathaan,Sukriti Kakar,6,2022,12,22,138,4,1365184,13,78,2,0,27,105,7,Major,82,62,74,10,0,33,7
609,Jhoome Jo Pathaan,Vishal-Shekhar,6,2022,12,22,138,4,1365184,13,78,2,0,27,105,7,Major,82,62,74,10,0,33,7
610,Jhoome Jo Pathaan,Shekhar Ravjiani,6,2022,12,22,138,4,1365184,13,78,2,0,27,105,7,Major,82,62,74,10,0,33,7
611,Jhoome Jo Pathaan,Kumaar,6,2022,12,22,138,4,1365184,13,78,2,0,27,105,7,Major,82,62,74,10,0,33,7
612,Escapism. - Sped Up,RAYE,2,2022,11,25,1368,0,184308753,12,1,11,0,0,108,6,Minor,44,38,77,9,0,9,20
613,Escapism. - Sped Up,070 Shake,2,2022,11,25,1368,0,184308753,12,1,11,0,0,108,6,Minor,44,38,77,9,0,9,20
614,Space Song,Beach House,1,2015,1,1,17852,4,789753877,69,76,335,0,26,147,-1,Minor,51,62,79,22,13,14,3
615,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],BTS,3,2022,11,20,889,20,323358833,11,78,35,0,32,115,-1,Major,71,34,88,16,0,44,4
616,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,3,2022,11,20,889,20,323358833,11,78,35,0,32,115,-1,Major,71,34,88,16,0,44,4
617,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],FIFA Sound,3,2022,11,20,889,20,323358833,11,78,35,0,32,115,-1,Major,71,34,88,16,0,44,4
618,Te Felicito,Shakira,2,2022,4,21,4796,9,606361689,124,66,212,13,29,174,5,Major,70,57,64,23,0,8,32
619,Te Felicito,Rauw Alejandro,2,2022,4,21,4796,9,606361689,124,66,212,13,29,174,5,Major,70,57,64,23,0,8,32
620,Mu,Steve Aoki,3,2023,1,12,658,6,120972253,33,7,53,2,5,90,10,Minor,68,83,71,3,0,31,8
621,Mu,Tini,3,2023,1,12,658,6,120972253,33,7,53,2,5,90,10,Minor,68,83,71,3,0,31,8
622,Mu,La Joaqui,3,2023,1,12,658,6,120972253,33,7,53,2,5,90,10,Minor,68,83,71,3,0,31,8
623,TV,Billie Eilish,1,2022,7,21,3009,2,338564981,68,89,65,0,30,141,4,Minor,41,9,25,84,1,14,4
624,I'm Not The Only One,Sam Smith,1,2014,1,1,17492,3,1606986953,136,24,1959,0,9,82,5,Major,68,50,49,56,0,8,4
625,Heather,Conan Gray,1,2020,3,20,6170,7,1301799902,82,1,231,0,2,92,5,Major,47,25,43,62,0,32,3
626,"Besharam Rang (From ""Pathaan"")",Vishal-Shekhar,6,2022,12,12,130,4,140187018,21,79,2,0,27,116,8,Minor,77,65,80,6,0,15,4
627,"Besharam Rang (From ""Pathaan"")",Shilpa Rao,6,2022,12,12,130,4,140187018,21,79,2,0,27,116,8,Minor,77,65,80,6,0,15,4
628,"Besharam Rang (From ""Pathaan"")",Caralisa Monteiro,6,2022,12,12,130,4,140187018,21,79,2,0,27,116,8,Minor,77,65,80,6,0,15,4
629,"Besharam Rang (From ""Pathaan"")",Kumaar,6,2022,12,12,130,4,140187018,21,79,2,0,27,116,8,Minor,77,65,80,6,0,15,4
630,"Besharam Rang (From ""Pathaan"")",Vishal Dadlani,6,2022,12,12,130,4,140187018,21,79,2,0,27,116,8,Minor,77,65,80,6,0,15,4
631,"Besharam Rang (From ""Pathaan"")",Shekhar Ravjiani,6,2022,12,12,130,4,140187018,21,79,2,0,27,116,8,Minor,77,65,80,6,0,15,4
